Product_Name,Rating,Rating_Count,Selling_Price,Discount,Product_Link
"GOBOULT Mustang Torq 60Hrs, App Support, 4Mic ENC, Breathable LED, 5.4v Bluetooth",4.1,82474,5999,,https://www.flipkart.com/goboult-mustang-torq-60hrs-app-support-4mic-enc-breathable-led-5-4v-bluetooth/p/itm7b880734f9031?pid=ACCH7KPDT628ZWDZ&lid=LSTACCH7KPDT628ZWDZUJ9UW2&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciH9fyQ7nseDALaFAFOk_ySWbwIMDj1BOCQXg4IBVsaSWFmOBtEFy0FmBP0CX6jfuRQ%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmental Noise Cancellation, Quad Mic Bluetooth",4.1,137944,3499,,https://www.flipkart.com/noise-buds-vs102-neo-40-hrs-playtime-environmental-cancellation-quad-mic-bluetooth/p/itm77f87105a246e?pid=ACCGQSGWDGQAVUM3&lid=LSTACCGQSGWDGQAVUM3X8KAIP&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCGQSGWDGQAVUM3.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
NEXX ARHAM TWS BLUETOOTH HEADSET WIRELESS TWINS WITH GOOD BACKUP AND GOOD SOUND QUALITY Bluetooth,3.6,14742,1699,,https://www.flipkart.com/nexx-arham-tws-bluetooth-headset-wireless-twins-good-backup-sound-quality/p/itmb28d7c4dfaeac?pid=ACCH74JS6GRUUGHG&lid=LSTACCH74JS6GRUUGHGKWLNGR&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCH74JS6GRUUGHG.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"truke Buds AURA with 70Hrs Playtime, 4-Mic ENC, 13mm Speakers, Rapid Charge, Game Mode Bluetooth",4,4903,2799,,https://www.flipkart.com/truke-buds-aura-70hrs-playtime-4-mic-enc-13mm-speakers-rapid-charge-game-mode-bluetooth/p/itm5821462555da3?pid=ACCH8Z4Y6RQGJHUC&lid=LSTACCH8Z4Y6RQGJHUCRIDLVC&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCH8Z4Y6RQGJHUC.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
myxes New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 Wireless LED Digital Display N8 Bluetooth,3.6,70665,1999,,https://www.flipkart.com/myxes-new-tws-m19-gaming-earbuds-bluetooth-5-0-wireless-led-digital-display-n8/p/itmf139fdf9c0e1c?pid=ACCGHHZ9VG3JNAUV&lid=LSTACCGHHZ9VG3JNAUVPX3FJB&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCGHHZ9VG3JNAUV.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"TRIGGR Apex S2 with Dual Pairing, 60H Battery, Quad Mic ENC, Rapid Pair, Rubber Finish Bluetooth",3.9,17024,3999,,https://www.flipkart.com/triggr-apex-s2-dual-pairing-60h-battery-quad-mic-enc-rapid-pair-rubber-finish-bluetooth/p/itm74944e3a878e3?pid=ACCH2WWTT8D6TKZ8&lid=LSTACCH2WWTT8D6TKZ8MHWYYX&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciG39QVF-HWTgkk13DkFCtdLb02TKWj5E-7XYn-GsWWRXyOZ4AZYAVdO7_DVdyY8QpI%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"boAt Nirvana Crown, SONIC A.R.C,LEDs, Haptic Feedback, 50dB Hybrid ANC, Spatial Audio Bluetooth",4,413,9990,,https://www.flipkart.com/boat-nirvana-crown-sonic-a-r-c-leds-haptic-feedback-50db-hybrid-anc-spatial-audio-bluetooth/p/itm90eed9994ee3f?pid=ACCHHXYRN7CNMCJQ&lid=LSTACCHHXYRN7CNMCJQPDTEZO&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciG4wTFOE2aY9bv84YtArPVFkGy80NU3ZeLs1eyxyBG_nnt_P5n7b52gVDvMFkrD8Y0%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
3BAAN X113 Premium TWS Earbuds with ENC Noise Reduction Bluetooth,,,1599,,https://www.flipkart.com/3baan-x113-premium-tws-earbuds-enc-noise-reduction-bluetooth/p/itme675396c2761f?pid=ACCHGH9FK24TPKJB&lid=LSTACCHGH9FK24TPKJBEJZANU&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHGH9FK24TPKJB.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"GWALBROS New White Bluetooth Earbuds, True Wireless Headphone F01 Bluetooth",3.6,4550,1974,,https://www.flipkart.com/gwalbros-new-white-bluetooth-earbuds-true-wireless-headphone-f01/p/itm6bdc440449f02?pid=ACCHEGZZFVW8ZZGY&lid=LSTACCHEGZZFVW8ZZGYMPZIW3&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHEGZZFVW8ZZGY.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"GOBOULT Y1 Pro with 4 Mic ENC, 60Hrs Battery Life, Fast Charging, 5.3v Bluetooth",4.1,145822,5999,,https://www.flipkart.com/goboult-y1-pro-4-mic-enc-60hrs-battery-life-fast-charging-5-3v-bluetooth/p/itm6da06a6c2803c?pid=ACCHY2JNQC6EEGWV&lid=LSTACCHY2JNQC6EEGWVUHRDER&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciFu1hHz4tGlQ8A5b1-x3PEVJB6F2Zh0yhT3VEMtdZOnr6wh4GJdccUSVsNPTiGrw-0%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset EQ, Quad Mic ENC, Rubber Finish Bluetooth",3.9,17024,3999,,https://www.flipkart.com/triggr-apex-s2-2025-dual-pairing-60h-battery-preset-eq-quad-mic-enc-rubber-finish-bluetooth/p/itm98eb63541c5d1?pid=ACCH2WWTCVSM2TAH&lid=LSTACCH2WWTCVSM2TAHLZBSYC&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciGbAFKDci60o1RbE7q3bG3oTuj_Cqn_ocWZvf-Xk6Bk6H4-p1Rhxa77oviaWC_eifA%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm Dynamic Drivers,Bluetooth V5.3 Bluetooth",4.1,19944,2899,,https://www.flipkart.com/ptron-bassbuds-vibe-w-34-hrs-playback-clear-calls-13mm-dynamic-drivers-bluetooth-v5-3-bluetooth/p/itm66852a194fd16?pid=ACCH2PKWGPDBTHZY&lid=LSTACCH2PKWGPDBTHZYLYPDNQ&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCH2PKWGPDBTHZY.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
RAJIBNEW Aerpods 25H Play Type-C Fas Charge SERVICE WE13 Bluetooth,,,1000,,https://www.flipkart.com/rajibnew-aerpods-25h-play-type-c-fas-charge-service-we13-bluetooth/p/itm6684f5b58c596?pid=ACCHGY3AYKG4MXYU&lid=LSTACCHGY3AYKG4MXYUM8OCGL&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHGY3AYKG4MXYU.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
GWALBROS Earbuds M19 PRO with Power Bank Upto 48Hrs Playback Bluetooth Headset F22 Bluetooth,3.8,890,1999,,https://www.flipkart.com/gwalbros-earbuds-m19-pro-power-bank-upto-48hrs-playback-bluetooth-headset-f22/p/itmfc510955e84ff?pid=ACCHEEG5FRKHAZ6D&lid=LSTACCHEEG5FRKHAZ6DRDPL8J&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHEEG5FRKHAZ6D.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
